snr_db,value_rel_mae,value_rel_mae_std,value_max_rel_err,value_abs_mae,jac_rel_mae,jac_rel_mae_std,amplification,amplification_std
5,0.65843,0.0372394,4.42173,0.327837,136.045,1.24,207.271,11.675
10,0.418438,0.0222561,2.92612,0.208343,93.4133,0.700601,223.859,11.7721
15,0.256088,0.0179783,2.16046,0.127508,57.8363,0.754075,226.952,16.0385
20,0.159221,0.022142,1.2949,0.079277,34.2994,0.501877,219.685,31.1258
25,0.109162,0.0074093,0.624913,0.0543524,19.9599,0.294218,183.681,12.6316
30,0.0904673,0.014451,0.503629,0.0450443,11.2912,0.117049,128.021,20.291
35,0.0791091,0.0100276,0.493083,0.039389,6.50345,0.112114,83.5292,10.633
40,0.0777795,0.00934686,0.518546,0.0387269,3.70979,0.0397157,48.3894,5.85424
